id,skill_id,type,question_vi,question_en,options,correct_answer,difficulty,hint_vi
SK03_0001,SK03,fill_blank,Đếm tiếp: 1 ?,Count on: 1 ?,,2,1,Cộng thêm 1 vào 1
SK03_0002,SK03,fill_blank,Đếm tiếp: 2 ?,Count on: 2 ?,,3,1,Cộng thêm 1 vào 2
SK03_0003,SK03,fill_blank,Đếm tiếp: 3 ?,Count on: 3 ?,,4,1,Cộng thêm 1 vào 3
SK03_0004,SK03,fill_blank,Đếm tiếp: 4 ?,Count on: 4 ?,,5,1,Cộng thêm 1 vào 4
SK03_0005,SK03,fill_blank,Đếm tiếp: 5 ?,Count on: 5 ?,,6,1,Cộng thêm 1 vào 5
SK03_0006,SK03,fill_blank,Đếm tiếp: 6 ?,Count on: 6 ?,,7,1,Cộng thêm 1 vào 6
SK03_0007,SK03,fill_blank,Đếm tiếp: 7 ?,Count on: 7 ?,,8,1,Cộng thêm 1 vào 7
SK03_0008,SK03,fill_blank,Đếm tiếp: 8 ?,Count on: 8 ?,,9,1,Cộng thêm 1 vào 8
SK03_0009,SK03,fill_blank,Đếm tiếp: 9 ?,Count on: 9 ?,,10,1,Cộng thêm 1 vào 9
SK03_0010,SK03,fill_blank,Đếm tiếp: 10 ?,Count on: 10 ?,,11,1,Cộng thêm 1 vào 10
SK03_0011,SK03,fill_blank,Đếm tiếp: 11 ?,Count on: 11 ?,,12,1,Cộng thêm 1 vào 11
SK03_0012,SK03,fill_blank,Đếm tiếp: 12 ?,Count on: 12 ?,,13,1,Cộng thêm 1 vào 12
SK03_0013,SK03,fill_blank,Đếm tiếp: 13 ?,Count on: 13 ?,,14,1,Cộng thêm 1 vào 13
SK03_0014,SK03,fill_blank,Đếm tiếp: 14 ?,Count on: 14 ?,,15,1,Cộng thêm 1 vào 14
SK03_0015,SK03,fill_blank,Đếm tiếp: 15 ?,Count on: 15 ?,,16,1,Cộng thêm 1 vào 15
SK03_0016,SK03,fill_blank,Đếm tiếp: 16 ?,Count on: 16 ?,,17,2,Cộng thêm 1 vào 16
SK03_0017,SK03,fill_blank,Đếm tiếp: 17 ?,Count on: 17 ?,,18,2,Cộng thêm 1 vào 17
SK03_0018,SK03,fill_blank,Đếm tiếp: 18 ?,Count on: 18 ?,,19,2,Cộng thêm 1 vào 18
SK03_0019,SK03,fill_blank,Đếm tiếp: 19 ?,Count on: 19 ?,,20,2,Cộng thêm 1 vào 19
SK03_0020,SK03,fill_blank,Đếm tiếp: 20 ?,Count on: 20 ?,,21,2,Cộng thêm 1 vào 20
SK03_0021,SK03,fill_blank,Đếm tiếp: 21 ?,Count on: 21 ?,,22,2,Cộng thêm 1 vào 21
SK03_0022,SK03,fill_blank,Đếm tiếp: 22 ?,Count on: 22 ?,,23,2,Cộng thêm 1 vào 22
SK03_0023,SK03,fill_blank,Đếm tiếp: 23 ?,Count on: 23 ?,,24,2,Cộng thêm 1 vào 23
SK03_0024,SK03,fill_blank,Đếm tiếp: 24 ?,Count on: 24 ?,,25,2,Cộng thêm 1 vào 24
SK03_0025,SK03,fill_blank,Đếm tiếp: 25 ?,Count on: 25 ?,,26,2,Cộng thêm 1 vào 25
SK03_0026,SK03,fill_blank,Đếm tiếp: 26 ?,Count on: 26 ?,,27,2,Cộng thêm 1 vào 26
SK03_0027,SK03,fill_blank,Đếm tiếp: 27 ?,Count on: 27 ?,,28,2,Cộng thêm 1 vào 27
SK03_0028,SK03,fill_blank,Đếm tiếp: 28 ?,Count on: 28 ?,,29,2,Cộng thêm 1 vào 28
SK03_0029,SK03,fill_blank,Đếm tiếp: 29 ?,Count on: 29 ?,,30,2,Cộng thêm 1 vào 29
SK03_0030,SK03,fill_blank,Đếm tiếp: 30 ?,Count on: 30 ?,,31,2,Cộng thêm 1 vào 30
SK03_0031,SK03,fill_blank,Đếm tiếp: 31 ?,Count on: 31 ?,,32,2,Cộng thêm 1 vào 31
SK03_0032,SK03,fill_blank,Đếm tiếp: 32 ?,Count on: 32 ?,,33,2,Cộng thêm 1 vào 32
SK03_0033,SK03,fill_blank,Đếm tiếp: 33 ?,Count on: 33 ?,,34,2,Cộng thêm 1 vào 33
SK03_0034,SK03,fill_blank,Đếm tiếp: 34 ?,Count on: 34 ?,,35,2,Cộng thêm 1 vào 34
SK03_0035,SK03,fill_blank,Đếm tiếp: 35 ?,Count on: 35 ?,,36,2,Cộng thêm 1 vào 35
SK03_0036,SK03,fill_blank,Đếm tiếp: 36 ?,Count on: 36 ?,,37,3,Cộng thêm 1 vào 36
SK03_0037,SK03,fill_blank,Đếm tiếp: 37 ?,Count on: 37 ?,,38,3,Cộng thêm 1 vào 37
SK03_0038,SK03,fill_blank,Đếm tiếp: 38 ?,Count on: 38 ?,,39,3,Cộng thêm 1 vào 38
SK03_0039,SK03,fill_blank,Đếm tiếp: 39 ?,Count on: 39 ?,,40,3,Cộng thêm 1 vào 39
SK03_0040,SK03,fill_blank,Đếm tiếp: 40 ?,Count on: 40 ?,,41,3,Cộng thêm 1 vào 40
SK03_0041,SK03,fill_blank,Đếm tiếp: 41 ?,Count on: 41 ?,,42,3,Cộng thêm 1 vào 41
SK03_0042,SK03,fill_blank,Đếm tiếp: 42 ?,Count on: 42 ?,,43,3,Cộng thêm 1 vào 42
SK03_0043,SK03,fill_blank,Đếm tiếp: 43 ?,Count on: 43 ?,,44,3,Cộng thêm 1 vào 43
SK03_0044,SK03,fill_blank,Đếm tiếp: 44 ?,Count on: 44 ?,,45,3,Cộng thêm 1 vào 44
SK03_0045,SK03,fill_blank,Đếm tiếp: 45 ?,Count on: 45 ?,,46,3,Cộng thêm 1 vào 45
SK03_0046,SK03,fill_blank,Đếm tiếp: 46 ?,Count on: 46 ?,,47,3,Cộng thêm 1 vào 46
SK03_0047,SK03,fill_blank,Đếm tiếp: 47 ?,Count on: 47 ?,,48,3,Cộng thêm 1 vào 47
SK03_0048,SK03,fill_blank,Đếm tiếp: 48 ?,Count on: 48 ?,,49,3,Cộng thêm 1 vào 48
SK03_0049,SK03,fill_blank,Đếm tiếp: 49 ?,Count on: 49 ?,,50,3,Cộng thêm 1 vào 49
SK03_0050,SK03,fill_blank,Đếm tiếp: 50 ?,Count on: 50 ?,,51,3,Cộng thêm 1 vào 50
SK03_0051,SK03,fill_blank,Điền số còn thiếu: 1 _ 3,Fill the blank: 1 _ 3,,2,1,Số nằm giữa 1 và 3
SK03_0052,SK03,fill_blank,Điền số còn thiếu: 2 _ 4,Fill the blank: 2 _ 4,,3,1,Số nằm giữa 2 và 4
SK03_0053,SK03,fill_blank,Điền số còn thiếu: 3 _ 5,Fill the blank: 3 _ 5,,4,1,Số nằm giữa 3 và 5
SK03_0054,SK03,fill_blank,Điền số còn thiếu: 4 _ 6,Fill the blank: 4 _ 6,,5,1,Số nằm giữa 4 và 6
SK03_0055,SK03,fill_blank,Điền số còn thiếu: 5 _ 7,Fill the blank: 5 _ 7,,6,1,Số nằm giữa 5 và 7
SK03_0056,SK03,fill_blank,Điền số còn thiếu: 6 _ 8,Fill the blank: 6 _ 8,,7,1,Số nằm giữa 6 và 8
SK03_0057,SK03,fill_blank,Điền số còn thiếu: 7 _ 9,Fill the blank: 7 _ 9,,8,1,Số nằm giữa 7 và 9
SK03_0058,SK03,fill_blank,Điền số còn thiếu: 8 _ 10,Fill the blank: 8 _ 10,,9,1,Số nằm giữa 8 và 10
SK03_0059,SK03,fill_blank,Điền số còn thiếu: 9 _ 11,Fill the blank: 9 _ 11,,10,1,Số nằm giữa 9 và 11
SK03_0060,SK03,fill_blank,Điền số còn thiếu: 10 _ 12,Fill the blank: 10 _ 12,,11,1,Số nằm giữa 10 và 12
SK03_0061,SK03,fill_blank,Điền số còn thiếu: 11 _ 13,Fill the blank: 11 _ 13,,12,1,Số nằm giữa 11 và 13
SK03_0062,SK03,fill_blank,Điền số còn thiếu: 12 _ 14,Fill the blank: 12 _ 14,,13,1,Số nằm giữa 12 và 14
SK03_0063,SK03,fill_blank,Điền số còn thiếu: 13 _ 15,Fill the blank: 13 _ 15,,14,1,Số nằm giữa 13 và 15
