id,skill_id,type,question_vi,question_en,options,correct_answer,difficulty,hint_vi
SK05_0001,SK05,multiple_choice,Tính tổng: 0 cộng 0,Calculate: 0 plus 0,"1,0,3,2",0,1,0 + 0 = ?
SK05_0002,SK05,multiple_choice,"Bé có 0 cái kẹo, được thêm 1 cái. Bé có tất cả mấy cái?",0 candies plus 1 more. Total?,"4,3,0,1",1,1,Đếm tất cả kẹo lại
SK05_0003,SK05,multiple_choice,0 + 2 = ?,0 + 2 = ?,"5,3,1,2",2,1,Đếm thêm 2 từ số 0
SK05_0004,SK05,multiple_choice,Tính tổng: 0 cộng 3,Calculate: 0 plus 3,"3,2,1,4",3,1,0 + 3 = ?
SK05_0005,SK05,multiple_choice,"Bé có 0 cái kẹo, được thêm 4 cái. Bé có tất cả mấy cái?",0 candies plus 4 more. Total?,"3,6,7,4",4,1,Đếm tất cả kẹo lại
SK05_0006,SK05,multiple_choice,0 + 5 = ?,0 + 5 = ?,"7,4,5,3",5,1,Đếm thêm 5 từ số 0
SK05_0007,SK05,multiple_choice,Tính tổng: 0 cộng 6,Calculate: 0 plus 6,"9,6,7,5",6,1,0 + 6 = ?
SK05_0008,SK05,multiple_choice,"Bé có 0 cái kẹo, được thêm 7 cái. Bé có tất cả mấy cái?",0 candies plus 7 more. Total?,"6,10,8,7",7,1,Đếm tất cả kẹo lại
SK05_0009,SK05,multiple_choice,0 + 8 = ?,0 + 8 = ?,"6,7,8,11",8,1,Đếm thêm 8 từ số 0
SK05_0010,SK05,multiple_choice,Tính tổng: 0 cộng 9,Calculate: 0 plus 9,"12,10,7,9",9,1,0 + 9 = ?
SK05_0011,SK05,multiple_choice,"Bé có 0 cái kẹo, được thêm 10 cái. Bé có tất cả mấy cái?",0 candies plus 10 more. Total?,"8,10,9,12",10,1,Đếm tất cả kẹo lại
SK05_0012,SK05,multiple_choice,0 + 11 = ?,0 + 11 = ?,"10,12,13,11",11,2,Đếm thêm 11 từ số 0
SK05_0013,SK05,multiple_choice,Tính tổng: 0 cộng 12,Calculate: 0 plus 12,"14,13,12,10",12,2,0 + 12 = ?
SK05_0014,SK05,multiple_choice,"Bé có 0 cái kẹo, được thêm 13 cái. Bé có tất cả mấy cái?",0 candies plus 13 more. Total?,"15,13,12,14",13,2,Đếm tất cả kẹo lại
SK05_0015,SK05,multiple_choice,0 + 14 = ?,0 + 14 = ?,"15,13,17,14",14,2,Đếm thêm 14 từ số 0
SK05_0016,SK05,multiple_choice,Tính tổng: 0 cộng 15,Calculate: 0 plus 15,"14,17,18,15",15,2,0 + 15 = ?
SK05_0017,SK05,multiple_choice,"Bé có 0 cái kẹo, được thêm 16 cái. Bé có tất cả mấy cái?",0 candies plus 16 more. Total?,"17,19,15,16",16,2,Đếm tất cả kẹo lại
SK05_0018,SK05,multiple_choice,0 + 17 = ?,0 + 17 = ?,"18,17,15,20",17,2,Đếm thêm 17 từ số 0
SK05_0019,SK05,multiple_choice,Tính tổng: 0 cộng 18,Calculate: 0 plus 18,"16,20,17,18",18,2,0 + 18 = ?
SK05_0020,SK05,multiple_choice,"Bé có 0 cái kẹo, được thêm 19 cái. Bé có tất cả mấy cái?",0 candies plus 19 more. Total?,"21,19,17,20",19,2,Đếm tất cả kẹo lại
SK05_0021,SK05,multiple_choice,0 + 20 = ?,0 + 20 = ?,"20,23,22,21",20,2,Đếm thêm 20 từ số 0
SK05_0022,SK05,multiple_choice,Tính tổng: 0 cộng 21,Calculate: 0 plus 21,"24,21,22,19",21,3,0 + 21 = ?
SK05_0023,SK05,multiple_choice,"Bé có 0 cái kẹo, được thêm 22 cái. Bé có tất cả mấy cái?",0 candies plus 22 more. Total?,"21,22,20,23",22,3,Đếm tất cả kẹo lại
SK05_0024,SK05,multiple_choice,0 + 23 = ?,0 + 23 = ?,"25,23,26,22",23,3,Đếm thêm 23 từ số 0
SK05_0025,SK05,multiple_choice,Tính tổng: 0 cộng 24,Calculate: 0 plus 24,"22,23,26,24",24,3,0 + 24 = ?
SK05_0026,SK05,multiple_choice,"Bé có 0 cái kẹo, được thêm 25 cái. Bé có tất cả mấy cái?",0 candies plus 25 more. Total?,"28,23,25,27",25,3,Đếm tất cả kẹo lại
SK05_0027,SK05,multiple_choice,1 + 0 = ?,1 + 0 = ?,"3,2,0,1",1,1,Đếm thêm 0 từ số 1
SK05_0028,SK05,multiple_choice,Tính tổng: 1 cộng 1,Calculate: 1 plus 1,"1,4,3,2",2,1,1 + 1 = ?
SK05_0029,SK05,multiple_choice,"Bé có 1 cái kẹo, được thêm 2 cái. Bé có tất cả mấy cái?",1 candies plus 2 more. Total?,"4,6,3,5",3,1,Đếm tất cả kẹo lại
SK05_0030,SK05,multiple_choice,1 + 3 = ?,1 + 3 = ?,"4,5,7,3",4,1,Đếm thêm 3 từ số 1
SK05_0031,SK05,multiple_choice,Tính tổng: 1 cộng 4,Calculate: 1 plus 4,"5,7,8,3",5,1,1 + 4 = ?
SK05_0032,SK05,multiple_choice,"Bé có 1 cái kẹo, được thêm 5 cái. Bé có tất cả mấy cái?",1 candies plus 5 more. Total?,"6,4,9,7",6,1,Đếm tất cả kẹo lại
SK05_0033,SK05,multiple_choice,1 + 6 = ?,1 + 6 = ?,"9,7,10,5",7,1,Đếm thêm 6 từ số 1
SK05_0034,SK05,multiple_choice,Tính tổng: 1 cộng 7,Calculate: 1 plus 7,"10,6,8,9",8,1,1 + 7 = ?
SK05_0035,SK05,multiple_choice,"Bé có 1 cái kẹo, được thêm 8 cái. Bé có tất cả mấy cái?",1 candies plus 8 more. Total?,"7,9,8,12",9,1,Đếm tất cả kẹo lại
SK05_0036,SK05,multiple_choice,1 + 9 = ?,1 + 9 = ?,"11,12,10,13",10,1,Đếm thêm 9 từ số 1
SK05_0037,SK05,multiple_choice,Tính tổng: 1 cộng 10,Calculate: 1 plus 10,"9,13,11,10",11,2,1 + 10 = ?
SK05_0038,SK05,multiple_choice,"Bé có 1 cái kẹo, được thêm 11 cái. Bé có tất cả mấy cái?",1 candies plus 11 more. Total?,"14,12,10,15",12,2,Đếm tất cả kẹo lại
SK05_0039,SK05,multiple_choice,1 + 12 = ?,1 + 12 = ?,"13,15,14,12",13,2,Đếm thêm 12 từ số 1
SK05_0040,SK05,multiple_choice,Tính tổng: 1 cộng 13,Calculate: 1 plus 13,"16,14,12,13",14,2,1 + 13 = ?
SK05_0041,SK05,multiple_choice,"Bé có 1 cái kẹo, được thêm 14 cái. Bé có tất cả mấy cái?",1 candies plus 14 more. Total?,"16,13,15,17",15,2,Đếm tất cả kẹo lại
SK05_0042,SK05,multiple_choice,1 + 15 = ?,1 + 15 = ?,"19,16,14,18",16,2,Đếm thêm 15 từ số 1
SK05_0043,SK05,multiple_choice,Tính tổng: 1 cộng 16,Calculate: 1 plus 16,"19,15,17,20",17,2,1 + 16 = ?
SK05_0044,SK05,multiple_choice,"Bé có 1 cái kẹo, được thêm 17 cái. Bé có tất cả mấy cái?",1 candies plus 17 more. Total?,"19,20,18,21",18,2,Đếm tất cả kẹo lại
SK05_0045,SK05,multiple_choice,1 + 18 = ?,1 + 18 = ?,"19,22,18,21",19,2,Đếm thêm 18 từ số 1
SK05_0046,SK05,multiple_choice,Tính tổng: 1 cộng 19,Calculate: 1 plus 19,"18,23,20,21",20,2,1 + 19 = ?
SK05_0047,SK05,multiple_choice,"Bé có 1 cái kẹo, được thêm 20 cái. Bé có tất cả mấy cái?",1 candies plus 20 more. Total?,"20,24,19,21",21,3,Đếm tất cả kẹo lại
SK05_0048,SK05,multiple_choice,1 + 21 = ?,1 + 21 = ?,"24,23,22,21",22,3,Đếm thêm 21 từ số 1
SK05_0049,SK05,multiple_choice,Tính tổng: 1 cộng 22,Calculate: 1 plus 22,"25,26,21,23",23,3,1 + 22 = ?
SK05_0050,SK05,multiple_choice,"Bé có 1 cái kẹo, được thêm 23 cái. Bé có tất cả mấy cái?",1 candies plus 23 more. Total?,"24,27,22,23",24,3,Đếm tất cả kẹo lại
SK05_0051,SK05,multiple_choice,1 + 24 = ?,1 + 24 = ?,"25,28,27,24",25,3,Đếm thêm 24 từ số 1
SK05_0052,SK05,multiple_choice,Tính tổng: 1 cộng 25,Calculate: 1 plus 25,"28,26,29,27",26,3,1 + 25 = ?
SK05_0053,SK05,multiple_choice,"Bé có 2 cái kẹo, được thêm 0 cái. Bé có tất cả mấy cái?",2 candies plus 0 more. Total?,"3,4,2,1",2,1,Đếm tất cả kẹo lại
SK05_0054,SK05,multiple_choice,2 + 1 = ?,2 + 1 = ?,"2,5,3,1",3,1,Đếm thêm 1 từ số 2
SK05_0055,SK05,multiple_choice,Tính tổng: 2 cộng 2,Calculate: 2 plus 2,"5,2,4,6",4,1,2 + 2 = ?
SK05_0056,SK05,multiple_choice,"Bé có 2 cái kẹo, được thêm 3 cái. Bé có tất cả mấy cái?",2 candies plus 3 more. Total?,"5,6,8,4",5,1,Đếm tất cả kẹo lại
SK05_0057,SK05,multiple_choice,2 + 4 = ?,2 + 4 = ?,"7,8,6,9",6,1,Đếm thêm 4 từ số 2
SK05_0058,SK05,multiple_choice,Tính tổng: 2 cộng 5,Calculate: 2 plus 5,"5,10,7,6",7,1,2 + 5 = ?
SK05_0059,SK05,multiple_choice,"Bé có 2 cái kẹo, được thêm 6 cái. Bé có tất cả mấy cái?",2 candies plus 6 more. Total?,"11,6,8,10",8,1,Đếm tất cả kẹo lại
SK05_0060,SK05,multiple_choice,2 + 7 = ?,2 + 7 = ?,"7,9,11,12",9,1,Đếm thêm 7 từ số 2
SK05_0061,SK05,multiple_choice,Tính tổng: 2 cộng 8,Calculate: 2 plus 8,"9,10,8,13",10,1,2 + 8 = ?
SK05_0062,SK05,multiple_choice,"Bé có 2 cái kẹo, được thêm 9 cái. Bé có tất cả mấy cái?",2 candies plus 9 more. Total?,"10,11,12,13",11,2,Đếm tất cả kẹo lại
SK05_0063,SK05,multiple_choice,2 + 10 = ?,2 + 10 = ?,"12,15,10,13",12,2,Đếm thêm 10 từ số 2
SK05_0064,SK05,multiple_choice,Tính tổng: 2 cộng 11,Calculate: 2 plus 11,"16,14,12,13",13,2,2 + 11 = ?
SK05_0065,SK05,multiple_choice,"Bé có 2 cái kẹo, được thêm 12 cái. Bé có tất cả mấy cái?",2 candies plus 12 more. Total?,"14,12,16,17",14,2,Đếm tất cả kẹo lại
SK05_0066,SK05,multiple_choice,2 + 13 = ?,2 + 13 = ?,"13,18,16,15",15,2,Đếm thêm 13 từ số 2
SK05_0067,SK05,multiple_choice,Tính tổng: 2 cộng 14,Calculate: 2 plus 14,"16,17,19,18",16,2,2 + 14 = ?
SK05_0068,SK05,multiple_choice,"Bé có 2 cái kẹo, được thêm 15 cái. Bé có tất cả mấy cái?",2 candies plus 15 more. Total?,"17,20,16,15",17,2,Đếm tất cả kẹo lại
SK05_0069,SK05,multiple_choice,2 + 16 = ?,2 + 16 = ?,"21,16,17,18",18,2,Đếm thêm 16 từ số 2
SK05_0070,SK05,multiple_choice,Tính tổng: 2 cộng 17,Calculate: 2 plus 17,"22,21,19,20",19,2,2 + 17 = ?
SK05_0071,SK05,multiple_choice,"Bé có 2 cái kẹo, được thêm 18 cái. Bé có tất cả mấy cái?",2 candies plus 18 more. Total?,"20,19,23,18",20,2,Đếm tất cả kẹo lại
SK05_0072,SK05,multiple_choice,2 + 19 = ?,2 + 19 = ?,"20,22,24,21",21,3,Đếm thêm 19 từ số 2
SK05_0073,SK05,multiple_choice,Tính tổng: 2 cộng 20,Calculate: 2 plus 20,"24,22,25,21",22,3,2 + 20 = ?
SK05_0074,SK05,multiple_choice,"Bé có 2 cái kẹo, được thêm 21 cái. Bé có tất cả mấy cái?",2 candies plus 21 more. Total?,"22,23,25,21",23,3,Đếm tất cả kẹo lại
SK05_0075,SK05,multiple_choice,2 + 22 = ?,2 + 22 = ?,"22,25,24,27",24,3,Đếm thêm 22 từ số 2
SK05_0076,SK05,multiple_choice,Tính tổng: 2 cộng 23,Calculate: 2 plus 23,"23,26,25,27",25,3,2 + 23 = ?
SK05_0077,SK05,multiple_choice,"Bé có 2 cái kẹo, được thêm 24 cái. Bé có tất cả mấy cái?",2 candies plus 24 more. Total?,"25,27,28,26",26,3,Đếm tất cả kẹo lại
SK05_0078,SK05,multiple_choice,2 + 25 = ?,2 + 25 = ?,"26,25,27,29",27,3,Đếm thêm 25 từ số 2
SK05_0079,SK05,multiple_choice,Tính tổng: 3 cộng 0,Calculate: 3 plus 0,"5,3,4,2",3,1,3 + 0 = ?
SK05_0080,SK05,multiple_choice,"Bé có 3 cái kẹo, được thêm 1 cái. Bé có tất cả mấy cái?",3 candies plus 1 more. Total?,"2,6,4,7",4,1,Đếm tất cả kẹo lại
SK05_0081,SK05,multiple_choice,3 + 2 = ?,3 + 2 = ?,"5,7,3,6",5,1,Đếm thêm 2 từ số 3
SK05_0082,SK05,multiple_choice,Tính tổng: 3 cộng 3,Calculate: 3 plus 3,"4,7,6,5",6,1,3 + 3 = ?
SK05_0083,SK05,multiple_choice,"Bé có 3 cái kẹo, được thêm 4 cái. Bé có tất cả mấy cái?",3 candies plus 4 more. Total?,"5,9,7,6",7,1,Đếm tất cả kẹo lại
SK05_0084,SK05,multiple_choice,3 + 5 = ?,3 + 5 = ?,"8,9,6,10",8,1,Đếm thêm 5 từ số 3
