id,skill_id,type,question_vi,question_en,options,correct_answer,difficulty,hint_vi
SK06_0001,SK06,multiple_choice,9 - 8 = ?,9 - 8 = ?,"1,0,2,4",1,1,9 trừ 8 bằng 1
SK06_0002,SK06,multiple_choice,10 - 4 = ?,10 - 4 = ?,"9,5,3,6",6,1,10 trừ 4 bằng 6
SK06_0003,SK06,multiple_choice,6 - 3 = ?,6 - 3 = ?,"3,1,6,4",3,1,6 trừ 3 bằng 3
SK06_0004,SK06,multiple_choice,5 - 5 = ?,5 - 5 = ?,"0,3,1,2",0,1,5 trừ 5 bằng 0
SK06_0005,SK06,multiple_choice,9 - 0 = ?,9 - 0 = ?,"6,9,7,10",9,1,9 trừ 0 bằng 9
SK06_0006,SK06,multiple_choice,7 - 5 = ?,7 - 5 = ?,"4,5,2,1",2,1,7 trừ 5 bằng 2
SK06_0007,SK06,multiple_choice,10 - 7 = ?,10 - 7 = ?,"6,3,0,1",3,1,10 trừ 7 bằng 3
SK06_0008,SK06,multiple_choice,10 - 6 = ?,10 - 6 = ?,"7,6,2,4",4,1,10 trừ 6 bằng 4
SK06_0009,SK06,multiple_choice,5 - 0 = ?,5 - 0 = ?,"4,2,5,6",5,1,5 trừ 0 bằng 5
SK06_0010,SK06,multiple_choice,8 - 7 = ?,8 - 7 = ?,"0,2,3,1",1,1,8 trừ 7 bằng 1
SK06_0011,SK06,multiple_choice,9 - 5 = ?,9 - 5 = ?,"6,5,2,4",4,1,9 trừ 5 bằng 4
SK06_0012,SK06,multiple_choice,7 - 6 = ?,7 - 6 = ?,"1,3,0,4",1,1,7 trừ 6 bằng 1
SK06_0013,SK06,multiple_choice,3 - 0 = ?,3 - 0 = ?,"0,2,3,4",3,1,3 trừ 0 bằng 3
SK06_0014,SK06,multiple_choice,8 - 5 = ?,8 - 5 = ?,"6,4,3,5",3,1,8 trừ 5 bằng 3
SK06_0015,SK06,multiple_choice,7 - 3 = ?,7 - 3 = ?,"7,1,6,4",4,1,7 trừ 3 bằng 4
SK06_0016,SK06,multiple_choice,9 - 6 = ?,9 - 6 = ?,"2,6,3,1",3,1,9 trừ 6 bằng 3
SK06_0017,SK06,multiple_choice,1 - 0 = ?,1 - 0 = ?,"0,2,1,4",1,1,1 trừ 0 bằng 1
SK06_0018,SK06,multiple_choice,10 - 1 = ?,10 - 1 = ?,"10,11,6,9",9,1,10 trừ 1 bằng 9
SK06_0019,SK06,multiple_choice,10 - 8 = ?,10 - 8 = ?,"1,5,2,0",2,1,10 trừ 8 bằng 2
SK06_0020,SK06,multiple_choice,10 - 10 = ?,10 - 10 = ?,"2,1,0,3",0,1,10 trừ 10 bằng 0
SK06_0021,SK06,multiple_choice,6 - 0 = ?,6 - 0 = ?,"3,8,6,7",6,1,6 trừ 0 bằng 6
SK06_0022,SK06,multiple_choice,3 - 1 = ?,3 - 1 = ?,"5,1,2,0",2,1,3 trừ 1 bằng 2
SK06_0023,SK06,multiple_choice,8 - 6 = ?,8 - 6 = ?,"3,1,2,0",2,1,8 trừ 6 bằng 2
