id,skill_id,type,question_vi,question_en,options,correct_answer,difficulty,hint_vi
SK08_0001,SK08,min_max,Chọn số BÉ nhất,Choose the smallest number,"5,3,8,1,6,4",1,1,Số bé nhất là số nhỏ hơn tất cả các số còn lại
SK08_0002,SK08,min_max,Chọn số BÉ nhất,Choose the smallest number,"7,2,5,9,3,6",2,1,Số bé nhất là số nhỏ hơn tất cả các số còn lại
SK08_0003,SK08,min_max,Chọn số BÉ nhất,Choose the smallest number,"4,9,2,7,5,8",2,1,Số bé nhất là số nhỏ hơn tất cả các số còn lại
SK08_0004,SK08,min_max,Chọn số BÉ nhất,Choose the smallest number,"6,1,8,4,9,3",1,1,Số bé nhất là số nhỏ hơn tất cả các số còn lại
SK08_0005,SK08,min_max,Chọn số BÉ nhất,Choose the smallest number,"8,5,2,7,4,9",2,1,Số bé nhất là số nhỏ hơn tất cả các số còn lại
SK08_0006,SK08,min_max,Chọn số BÉ nhất,Choose the smallest number,"3,6,1,8,5,7",1,1,Số bé nhất là số nhỏ hơn tất cả các số còn lại
SK08_0007,SK08,min_max,Chọn số BÉ nhất,Choose the smallest number,"9,4,7,2,6,5",2,1,Số bé nhất là số nhỏ hơn tất cả các số còn lại
SK08_0008,SK08,min_max,Chọn số BÉ nhất,Choose the smallest number,"5,8,3,9,1,7",1,1,Số bé nhất là số nhỏ hơn tất cả các số còn lại
SK08_0009,SK08,min_max,Chọn số LỚN nhất,Choose the largest number,"5,3,8,1,6,4",8,1,Số lớn nhất là số lớn hơn tất cả các số còn lại
SK08_0010,SK08,min_max,Chọn số LỚN nhất,Choose the largest number,"7,2,5,9,3,6",9,1,Số lớn nhất là số lớn hơn tất cả các số còn lại
SK08_0011,SK08,min_max,Chọn số LỚN nhất,Choose the largest number,"4,9,2,7,5,8",9,1,Số lớn nhất là số lớn hơn tất cả các số còn lại
SK08_0012,SK08,min_max,Chọn số LỚN nhất,Choose the largest number,"6,1,8,4,9,3",9,1,Số lớn nhất là số lớn hơn tất cả các số còn lại
